frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,tipupx,tipupy,tipdownx,tipdowny,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
26,374.665357,304.343526,376.151629,303.302261,374.925516,303.79348,348.557814,280.759486,323.902513,297.603577,NaN,NaN,NaN,NaN,0,0,0,0,375.2475007,303.813089,323.902513,297.603577,348.557814,280.759486,,51.34498767,6.209512,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.216666667
27,377.266052,304.343526,378.707009,304.238804,377.016436,304.096513,350.832879,280.759486,325.572666,297.857772,NaN,NaN,NaN,NaN,0,0,0,0,377.6631657,304.226281,325.572666,297.857772,350.832879,280.759486,,52.09049967,6.368509,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.225
28,378.999849,304.556596,379.580367,304.238804,380.44122,304.130183,352.518232,280.561823,326.914754,297.886016,NaN,NaN,NaN,NaN,0,0,0,0,379.673812,304.3085277,326.914754,297.886016,352.518232,280.561823,,52.759058,6.422511667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.233333333
29,380.688019,305.45149,381.424122,305.205558,381.955334,304.702579,355.124655,281.160984,328.555083,297.91426,NaN,NaN,NaN,NaN,0,0,0,0,381.355825,305.1198757,328.555083,297.91426,355.124655,281.160984,,52.800742,7.205615667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.241666667
30,382.330563,305.66456,382.782678,305.205558,384.046255,305.375985,357.277787,281.826718,329.807698,298.28143,NaN,NaN,NaN,NaN,0,0,0,0,383.0531653,305.4153677,329.807698,298.28143,357.277787,281.826718,,53.24546733,7.133937667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.25
31,384.931258,306.133314,385.855603,305.839991,385.956923,305.88104,359.739515,282.750057,331.418203,298.309673,NaN,NaN,NaN,NaN,0,0,0,0,385.5812613,305.9514483,331.418203,298.309673,359.739515,282.750057,,54.16305833,7.641775333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.258333333
32,387.623205,307.028208,388.714637,306.607731,388.011793,306.285084,361.772551,283.934921,332.969059,298.309673,NaN,NaN,NaN,NaN,0,0,0,0,388.116545,306.640341,332.969059,298.309673,361.772551,283.934921,,55.147486,8.330668,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.266666667
33,389.265749,307.241278,389.059668,306.929983,389.525908,306.95849,363.079911,284.511845,334.847981,298.705087,NaN,NaN,NaN,NaN,0,0,0,0,389.283775,307.0432503,334.847981,298.705087,363.079911,284.511845,,54.435794,8.338163333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.275
34,390.497657,307.923102,390.411036,307.869883,391.436576,307.463545,365.119721,284.977859,336.667961,299.820313,NaN,NaN,NaN,NaN,0,0,0,0,390.7817563,307.7521767,336.667961,299.820313,365.119721,284.977859,,54.11379533,7.931863667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.283333333
35,392.64209,308.349242,392.337454,308.433823,392.840554,307.703738,367.363511,285.088815,338.802949,299.749783,NaN,NaN,NaN,NaN,0,0,0,0,392.6066993,308.1622677,338.802949,299.749783,367.363511,285.088815,,53.80375033,8.412484667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.291666667
36,395.744673,308.349242,395.960271,308.192134,395.978921,308.00227,369.314277,285.250751,340.640031,299.914353,NaN,NaN,NaN,NaN,0,0,0,0,395.8946217,308.1812153,340.640031,299.914353,369.314277,285.250751,,55.25459067,8.266862333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.3
37,398.162863,308.817996,397.800433,308.836637,398.069841,308.574666,371.303091,286.124527,342.303336,300.055413,NaN,NaN,NaN,NaN,0,0,0,0,398.0110457,308.7430997,342.303336,300.055413,371.303091,286.124527,,55.70770967,8.687686667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.308333333
38,399.805407,309.244136,400.503169,309.400577,400.881768,309.281742,373.750862,286.923408,344.065942,300.031903,NaN,NaN,NaN,NaN,0,0,0,0,400.3967813,309.3088183,344.065942,300.031903,373.750862,286.923408,,56.33083933,9.276915333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.316666667
39,402.451728,309.92596,402.45834,309.561703,402.936638,309.988819,376.963562,287.447673,346.076802,300.125943,NaN,NaN,NaN,NaN,0,0,0,0,402.6155687,309.825494,346.076802,300.125943,376.963562,287.447673,,56.53876667,9.699551,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.325
40,404.824292,310.820854,404.298501,310.555311,405.820666,310.695896,379.207352,287.847114,348.087663,300.149453,NaN,NaN,NaN,NaN,0,0,0,0,404.981153,310.690687,348.087663,300.149453,379.207352,287.847114,,56.89349,10.541234,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.333333333
41,406.447719,311.082796,406.253672,310.877563,407.478982,311.200951,381.9101,288.121729,349.775793,300.196473,NaN,NaN,NaN,NaN,0,0,0,0,406.726791,311.05377,349.775793,300.196473,381.9101,288.121729,,56.950998,10.857297,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.341666667
42,407.907758,312.067652,408.525121,311.575774,408.23604,311.908027,384.051899,288.745855,351.414272,300.455083,NaN,NaN,NaN,NaN,0,0,0,0,408.222973,311.8504843,351.414272,300.455083,384.051899,288.745855,,56.808701,11.39540133,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.35
43,410.625053,312.257048,410.940332,312.408257,410.943541,312.240499,386.601661,289.02047,353.772688,300.643163,NaN,NaN,NaN,NaN,0,0,0,0,410.8363087,312.3019347,353.772688,300.643163,386.601661,289.02047,,57.06362067,11.65877167,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.358333333
44,413.017895,313.052509,412.725562,313.00376,412.866226,312.978752,388.208011,289.794386,355.262215,300.901773,NaN,NaN,NaN,NaN,0,0,0,0,412.8698943,313.0116737,355.262215,300.901773,388.208011,289.794386,,57.60767933,12.10990067,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.366666667
45,416.46521,313.88585,416.482557,313.361817,416.647508,313.397761,391.140237,290.318652,357.074472,301.371973,NaN,NaN,NaN,NaN,0,0,0,0,416.5317583,313.548476,357.074472,301.371973,391.140237,290.318652,,59.45728633,12.176503,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.375
46,419.020278,314.075245,418.910548,314.00632,418.912004,313.936486,393.778432,291.087988,358.961205,301.936212,NaN,NaN,NaN,NaN,0,0,0,0,418.94761,314.006017,358.961205,301.936212,393.778432,291.087988,,59.986405,12.069805,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.383333333
47,421.494234,314.643432,421.466327,314.364377,421.838758,314.654786,396.410877,291.403595,360.971243,302.315266,NaN,NaN,NaN,NaN,0,0,0,0,421.599773,314.5541983,360.971243,302.315266,396.410877,291.403595,,60.62853,12.23893233,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.391666667
48,424.333199,315.249498,424.942187,314.865657,424.850965,314.834361,398.452014,292.033714,363.126477,302.964686,NaN,NaN,NaN,NaN,0,0,0,0,424.7087837,314.983172,363.126477,302.964686,398.452014,292.033714,,61.58230667,12.018486,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.4
49,427.293834,315.249498,427.114599,315.247584,427.413701,315.041603,400.776048,292.532451,364.873523,303.32032,NaN,NaN,NaN,NaN,0,0,0,0,427.2740447,315.1795617,364.873523,303.32032,400.776048,292.532451,,62.40052167,11.85924167,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.408333333
50,429.848902,315.59041,430.207092,315.748864,430.01526,315.609149,402.654376,293.000018,366.669551,304.155288,NaN,NaN,NaN,NaN,0,0,0,0,430.0237513,315.6494743,366.669551,304.155288,402.654376,293.000018,,63.35420033,11.49418633,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.416666667
51,431.552281,316.385871,432.047253,316.369497,431.914209,316.141223,405.487787,293.654611,368.694165,304.340837,NaN,NaN,NaN,NaN,0,0,0,0,431.8379143,316.2988637,368.694165,304.340837,405.487787,293.654611,,63.14374933,11.95802667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.425
52,434.553473,316.613146,434.62859,316.632072,434.496779,316.513675,407.843656,294.309203,370.245281,305.036643,NaN,NaN,NaN,NaN,0,0,0,0,434.559614,316.5862977,370.245281,305.036643,407.843656,294.309203,,64.314333,11.54965467,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.433333333
53,437.311325,316.84042,437.951103,316.870777,437.800949,316.708769,410.167689,295.306678,371.232652,305.345317,NaN,NaN,NaN,NaN,0,0,0,0,437.6877923,316.8066553,371.232652,305.345317,410.167689,295.306678,,66.45514033,11.46133833,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.441666667
54,439.866393,317.181332,439.920487,317.019384,440.193624,317.187636,413.0011,295.774245,373.624655,306.031758,NaN,NaN,NaN,NaN,0,0,0,0,439.9935013,317.1294507,373.624655,306.031758,413.0011,295.774245,,66.36884633,11.09769267,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.45
55,441.975339,317.181332,442.192291,317.146693,441.997625,317.098957,416.025527,296.428838,375.074354,306.169046,NaN,NaN,NaN,NaN,0,0,0,0,442.055085,317.1423273,375.074354,306.169046,416.025527,296.428838,,66.980731,10.97328133,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.458333333
56,444.327624,317.635881,444.100606,317.804458,444.865037,317.347258,418.699757,296.740548,377.430116,306.683877,NaN,NaN,NaN,NaN,0,0,0,0,444.431089,317.5958657,377.430116,306.683877,418.699757,296.740548,,67.000973,10.91198867,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.466666667
57,446.031003,318.241947,446.122511,317.910549,446.446856,317.626993,421.02379,297.395141,380.075817,307.438963,NaN,NaN,NaN,NaN,0,0,0,0,446.2001233,317.9264963,380.075817,307.438963,421.02379,297.395141,,66.12430633,10.48753333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.475
58,448.788855,318.052552,448.984984,317.910549,449.012547,318.021122,423.889037,297.738023,382.214123,307.438963,NaN,NaN,NaN,NaN,0,0,0,0,448.9287953,317.994741,382.214123,307.438963,423.889037,297.738023,,66.71467233,10.555778,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.483333333
59,451.14114,318.241947,451.029607,317.910549,451.071851,318.021122,426.181234,299.047209,384.642369,307.679217,NaN,NaN,NaN,NaN,0,0,0,0,451.080866,318.0578727,384.642369,307.679217,426.181234,299.047209,,66.438497,10.37865567,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.491666667
60,453.717035,318.343192,453.89208,318.037858,454.262084,317.942296,428.855464,300.574592,386.418251,308.39998,NaN,NaN,NaN,NaN,0,0,0,0,453.9570663,318.107782,386.418251,308.39998,428.855464,300.574592,,67.53881533,9.707802,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.5
61,456.168459,318.511544,455.891267,318.037858,456.017557,318.352191,431.052153,302.133147,388.520315,308.674557,NaN,NaN,NaN,NaN,0,0,0,0,456.025761,318.300531,388.520315,308.674557,431.052153,302.133147,,67.505446,9.625974,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.508333333
62,457.682573,318.679895,458.072199,318.25004,457.891186,318.541373,433.653006,303.273589,389.825044,309.292354,NaN,NaN,NaN,NaN,0,0,0,0,457.881986,318.490436,389.825044,309.292354,433.653006,303.273589,,68.056942,9.198082,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.516666667
63,460.133997,318.511544,460.354204,318.299796,460.018008,318.446782,437.430887,304.561994,391.600926,309.39532,NaN,NaN,NaN,NaN,0,0,0,0,460.1687363,318.419374,391.600926,309.39532,437.430887,304.561994,,68.56781033,9.024054,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.525
64,462.801723,318.343192,462.898625,318.262075,463.106965,318.367956,440.317357,305.89196,394.572809,309.704219,NaN,NaN,NaN,NaN,0,0,0,0,462.935771,318.3244077,394.572809,309.704219,440.317357,305.89196,,68.362962,8.620188667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.533333333
65,465.433399,318.343192,465.544014,317.979165,465.621798,318.055528,444.095238,308.510332,397.07354,310.013118,NaN,NaN,NaN,NaN,0,0,0,0,465.5330703,318.1259617,397.07354,310.013118,444.095238,308.510332,,68.45953033,8.112843667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.541666667
66,467.560369,318.174841,467.664364,317.866002,467.59541,318.258293,447.660878,311.752125,399.610514,310.287694,423.7228,296.841376,NaN,NaN,0,0,0,0,467.6067143,318.099712,399.610514,310.287694,447.660878,311.752125,,67.99620033,7.812018,#VALUE!,#VALUE!,23.938078,14.910749,#VALUE!,25.36437439,0.55
67,470.588599,317.636115,470.430916,317.469928,470.5953,317.484101,450.802037,311.752125,402.546155,310.596593,NaN,NaN,NaN,NaN,0,0,0,0,470.5382717,317.530048,402.546155,310.596593,450.802037,311.752125,,67.99211667,6.933455,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.558333333
68,473.040023,317.636115,473.278243,317.017274,472.98337,317.207603,453.730956,312.292424,405.264341,310.836847,NaN,NaN,NaN,NaN,0,0,0,0,473.1005453,317.2869973,405.264341,310.836847,453.730956,312.292424,,67.83620433,6.450150333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.566666667
69,475.455396,317.467764,475.499563,316.885249,475.450385,317.170737,456.405186,312.666477,407.837557,310.905491,NaN,NaN,NaN,NaN,0,0,0,0,475.468448,317.1745833,407.837557,310.905491,456.405186,312.666477,,67.630891,6.269092333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.575
70,477.94287,317.265742,477.720882,317.073855,478.055552,317.281336,458.612487,313.539268,410.700713,311.008457,NaN,NaN,NaN,NaN,0,0,0,0,477.9064347,317.2069777,410.700713,311.008457,458.612487,313.539268,,67.20572167,6.198520667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.583333333
71,480.973359,316.802816,480.790341,316.885249,480.7594,316.820507,460.395307,315.243287,413.539422,311.361865,NaN,NaN,NaN,NaN,0,0,0,0,480.8410333,316.8361907,413.539422,311.361865,460.395307,315.243287,,67.30161133,5.474325667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.591666667
72,483.280582,316.892604,483.478017,316.363809,483.640874,316.433411,464.348795,315.709695,415.915152,311.361865,NaN,NaN,NaN,NaN,0,0,0,0,483.466491,316.5632747,415.915152,311.361865,464.348795,315.709695,,67.551339,5.201409667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.6
73,485.924274,316.668135,485.380723,316.548224,485.460399,316.531314,467.065473,316.042187,418.290883,311.361865,NaN,NaN,NaN,NaN,0,0,0,0,485.5884653,316.5825577,418.290883,311.361865,467.065473,316.042187,,67.29758233,5.220692667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.608333333
74,488.327631,316.5559,487.53473,316.464399,487.539271,316.433004,470.9141,316.319263,421.141759,311.201162,NaN,NaN,NaN,NaN,0,0,0,0,487.800544,316.4844343,421.141759,311.201162,470.9141,316.319263,,66.658785,5.283272333,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.616666667
75,490.971323,316.421219,490.658039,316.363809,490.433901,316.433004,475.328703,315.488034,424.773232,311.233302,NaN,NaN,NaN,NaN,0,0,0,0,490.6877543,316.4060107,424.773232,311.233302,475.328703,315.488034,,65.91452233,5.172708667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.625
76,493.37468,316.668135,492.901796,316.263219,492.802235,316.531314,478.95094,314.379729,427.861682,310.686911,NaN,NaN,NaN,NaN,0,0,0,0,493.026237,316.487556,427.861682,310.686911,478.95094,314.379729,,65.164555,5.800645,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.633333333
77,496.282742,316.421219,495.378903,316.464399,495.565292,316.678779,481.837411,313.714745,430.474985,310.461927,NaN,NaN,NaN,NaN,0,0,0,0,495.7423123,316.5214657,430.474985,310.461927,481.837411,313.714745,,65.26732733,6.059538667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.641666667
78,498.421729,316.5559,498.394512,316.464399,498.459923,316.531314,484.554089,313.382254,423.169597,305.362377,NaN,NaN,NaN,NaN,0,0,0,0,498.425388,316.5172043,423.169597,305.362377,484.554089,313.382254,,75.255791,11.15482733,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.65
79,501.195066,316.753754,501.077696,316.531749,501.328238,316.826244,486.365208,312.828101,425.380887,305.444499,NaN,NaN,NaN,NaN,0,0,0,0,501.2003333,316.7039157,425.380887,305.444499,486.365208,312.828101,,75.81944633,11.25941667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.658333333
80,503.534333,317.053046,503.933749,316.457238,503.34498,316.777534,487.780144,311.054812,427.115232,305.403438,NaN,NaN,NaN,NaN,0,0,0,0,503.604354,316.762606,427.115232,305.403438,487.780144,311.054812,,76.489122,11.359168,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.666666667
