frame,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,leftx,lefty,rightx,righty,eyex,eyey,tailx,taily,wristx,wristy,,body vector x,body vector y,wing vec down x,wing vec down y,wing vec up x,wing vec  up y,downangle,upangle,time
31,932.644366,470.258374,935.193423,469.798854,935.268327,470.147608,966.690812,451.29464,1019.979066,484.764259,NaN,NaN,NaN,NaN,0,0,0,0,934.3687053,470.0682787,1019.979066,484.764259,966.690812,451.29464,,-85.61036067,-14.69598033,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.258333333
32,929.466974,470.379329,932.362842,470.506591,932.406176,470.926635,961.594491,453.480417,1016.231534,485.002329,NaN,NaN,NaN,NaN,0,0,0,0,931.4119973,470.604185,1016.231534,485.002329,961.594491,453.480417,,-84.81953667,-14.398144,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.266666667
33,926.533997,470.963946,929.239212,470.703984,929.114702,470.942864,958.583028,454.237032,1013.056541,484.975876,NaN,NaN,NaN,NaN,0,0,0,0,928.2959703,470.8702647,1013.056541,484.975876,958.583028,454.237032,,-84.76057067,-14.10561133,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.275
34,923.512142,471.185697,926.302068,471.014171,926.27044,471.20254,955.710556,454.279066,1009.699376,485.055233,NaN,NaN,NaN,NaN,0,0,0,0,925.36155,471.134136,1009.699376,485.055233,955.710556,454.279066,,-84.337826,-13.921097,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.283333333
35,920.690262,471.508244,923.069655,471.54995,923.318847,471.851728,953.903679,455.876365,1006.316187,484.552641,NaN,NaN,NaN,NaN,0,0,0,0,922.359588,471.6366407,1006.316187,484.552641,953.903679,455.876365,,-83.956599,-12.91600033,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.291666667
36,917.490651,472.032383,920.509257,471.865388,920.574183,471.934591,950.058272,456.296706,1002.77685,484.0765,NaN,NaN,NaN,NaN,0,0,0,0,919.524697,471.9441207,1002.77685,484.0765,950.058272,456.296706,,-83.252153,-12.13237933,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.3
37,914.327505,472.320097,917.48405,472.028315,917.441718,472.136561,948.251395,458.272312,1000.200421,484.235214,NaN,NaN,NaN,NaN,0,0,0,0,916.4177577,472.1616577,1000.200421,484.235214,948.251395,458.272312,,-83.78266333,-12.07355633,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.308333333
38,911.917921,472.642644,914.403589,472.354168,914.372856,472.554927,945.610574,458.65062,997.962311,484.050048,NaN,NaN,NaN,NaN,0,0,0,0,913.5647887,472.5172463,997.962311,484.050048,945.610574,458.65062,,-84.39752233,-11.53280167,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.316666667
39,909.389833,473.108545,911.875676,473.018408,911.685615,473.247395,942.923423,458.104176,995.776251,483.706169,NaN,NaN,NaN,NaN,0,0,0,0,910.983708,473.1247827,995.776251,483.706169,942.923423,458.104176,,-84.792543,-10.58138633,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.325
40,906.190222,473.413173,909.195813,473.294131,909.157381,473.50707,940.514252,458.104176,993.147773,483.335838,NaN,NaN,NaN,NaN,0,0,0,0,908.1811387,473.4047913,993.147773,483.335838,940.514252,458.104176,,-84.96663433,-9.931046667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.333333333
